Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for bsd-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:15:25 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1067296k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-22T12:05:47.875-0800: 0.146: [GC (Allocation Failure) [PSYoungGen: 65317K->10741K(76288K)] 65317K->26522K(251392K), 0.0123600 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
2021-01-22T12:05:47.903-0800: 0.174: [GC (Allocation Failure) [PSYoungGen: 76277K->10734K(76288K)] 92058K->51835K(251392K), 0.0167999 secs] [Times: user=0.02 sys=0.04, real=0.02 secs] 
2021-01-22T12:05:47.931-0800: 0.202: [GC (Allocation Failure) [PSYoungGen: 76270K->10750K(76288K)] 117371K->73842K(251392K), 0.0121083 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
2021-01-22T12:05:47.956-0800: 0.226: [GC (Allocation Failure) [PSYoungGen: 76221K->10748K(76288K)] 139314K->94213K(251392K), 0.0111398 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2021-01-22T12:05:47.978-0800: 0.248: [GC (Allocation Failure) [PSYoungGen: 76284K->10751K(76288K)] 159749K->118569K(251392K), 0.0131301 secs] [Times: user=0.02 sys=0.03, real=0.02 secs] 
2021-01-22T12:05:48.002-0800: 0.273: [GC (Allocation Failure) [PSYoungGen: 76279K->10741K(40448K)] 184098K->144870K(215552K), 0.0137496 secs] [Times: user=0.02 sys=0.03, real=0.01 secs] 
2021-01-22T12:05:48.022-0800: 0.292: [GC (Allocation Failure) [PSYoungGen: 40043K->18650K(58368K)] 174173K->155938K(233472K), 0.0045093 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T12:05:48.032-0800: 0.303: [GC (Allocation Failure) [PSYoungGen: 48336K->24890K(58368K)] 185624K->164546K(233472K), 0.0052647 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-01-22T12:05:48.043-0800: 0.313: [GC (Allocation Failure) [PSYoungGen: 54343K->28646K(58368K)] 193999K->177507K(233472K), 0.0091844 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-22T12:05:48.436-0800: 0.707: [Full GC (Ergonomics) [PSYoungGen: 29414K->23266K(58368K)] [ParOldGen: 175004K->174690K(175104K)] 204419K->197956K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0274319 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.465-0800: 0.735: [Full GC (Ergonomics) [PSYoungGen: 29570K->23868K(58368K)] [ParOldGen: 174690K->174835K(175104K)] 204260K->198703K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0266620 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.493-0800: 0.763: [Full GC (Ergonomics) [PSYoungGen: 29629K->22903K(58368K)] [ParOldGen: 174835K->174836K(175104K)] 204464K->197740K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0288829 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.523-0800: 0.794: [Full GC (Ergonomics) [PSYoungGen: 29696K->24535K(58368K)] [ParOldGen: 174836K->174778K(175104K)] 204532K->199314K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0300591 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2021-01-22T12:05:48.555-0800: 0.825: [Full GC (Ergonomics) [PSYoungGen: 29431K->24351K(58368K)] [ParOldGen: 174778K->174781K(175104K)] 204210K->199132K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0275616 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.583-0800: 0.854: [Full GC (Ergonomics) [PSYoungGen: 29347K->26309K(58368K)] [ParOldGen: 174781K->174999K(175104K)] 204128K->201309K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0265876 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.611-0800: 0.881: [Full GC (Ergonomics) [PSYoungGen: 29523K->27460K(58368K)] [ParOldGen: 174999K->174670K(175104K)] 204523K->202130K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0236468 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2021-01-22T12:05:48.635-0800: 0.905: [Full GC (Ergonomics) [PSYoungGen: 29375K->27710K(58368K)] [ParOldGen: 174670K->174846K(175104K)] 204046K->202557K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0303712 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.666-0800: 0.936: [Full GC (Ergonomics) [PSYoungGen: 29652K->27898K(58368K)] [ParOldGen: 174846K->174846K(175104K)] 204499K->202745K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0028134 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T12:05:48.669-0800: 0.940: [Full GC (Ergonomics) [PSYoungGen: 29649K->28468K(58368K)] [ParOldGen: 174846K->174846K(175104K)] 204496K->203315K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0029561 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T12:05:48.672-0800: 0.943: [Full GC (Ergonomics) [PSYoungGen: 29609K->29033K(58368K)] [ParOldGen: 174846K->174775K(175104K)] 204456K->203809K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0100948 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2021-01-22T12:05:48.682-0800: 0.953: [Full GC (Allocation Failure) [PSYoungGen: 29033K->29033K(58368K)] [ParOldGen: 174775K->174755K(175104K)] 203809K->203789K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0163948 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
Heap
 PSYoungGen      total 58368K, used 29669K [0x00000007bab00000, 0x00000007c0000000, 0x00000007c0000000)
  eden space 29696K, 99% used [0x00000007bab00000,0x00000007bc7f9400,0x00000007bc800000)
  from space 28672K, 0% used [0x00000007bc800000,0x00000007bc800000,0x00000007be400000)
  to   space 28672K, 0% used [0x00000007be400000,0x00000007be400000,0x00000007c0000000)
 ParOldGen       total 175104K, used 174755K [0x00000007b0000000, 0x00000007bab00000, 0x00000007bab00000)
  object space 175104K, 99% used [0x00000007b0000000,0x00000007baaa8fc8,0x00000007bab00000)
 Metaspace       used 2765K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 299K, capacity 386K, committed 512K, reserved 1048576K
